id,official_ems_damage_gra,vlm_damage_class,vlm_damage_percent,vlm_confidence,vlm_action_priority,post_event_chip,google_maps_url
ems_00003,Damaged,uncertain_imagery_problem,,0.3,review,/data/chips/emsr884-aoi12-caraballeda/ems_00003_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.6017854115,-67.03119532849999"
ems_00004,Damaged,likely_destroyed,75,0.78,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00004_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.602195192222222,-67.03000936444444"
ems_00006,Damaged,uncertain_imagery_problem,,0.3,review,/data/chips/emsr884-aoi12-caraballeda/ems_00006_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.602834119999999,-67.03037675636364"
ems_00007,Damaged,possible_major_damage,65,0.55,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00007_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.602875056086956,-67.02951927652174"
ems_00009,Damaged,minor_visible_damage,25,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00009_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.60337987375,-67.02775086"
ems_00008,Damaged,minor_visible_damage,15,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00008_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.602867767777777,-67.02664012333334"
ems_00010,Damaged,uncertain_imagery_problem,35,low,review,/data/chips/emsr884-aoi12-caraballeda/ems_00010_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.603611574,-67.030110646"
ems_00011,Damaged,uncertain_imagery_problem,,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00011_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.60436128986619,-67.0203681198751"
ems_00012,Damaged,uncertain_imagery_problem,20,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00012_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.606215724090909,-67.02149627704546"
ems_00013,Damaged,minor_visible_damage,25,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00013_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.606247440675675,-67.02343160202703"
ems_00014,Damaged,uncertain_imagery_problem,50,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00014_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.606425188170732,-67.02112542914634"
ems_00016,Damaged,possible_major_damage,65,low,review,/data/chips/emsr884-aoi12-caraballeda/ems_00016_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.607200258,-67.019009784"
ems_00017,Damaged,minor_visible_damage,25,0.4,review,/data/chips/emsr884-aoi12-caraballeda/ems_00017_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.6071411545,-67.01585228675"
ems_00015,Damaged,possible_major_damage,55,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00015_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.607088725735295,-67.02160794764706"
ems_00021,Damaged,possible_major_damage,60,0.55,review,/data/chips/emsr884-aoi12-caraballeda/ems_00021_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.603547211538462,-67.03168801115385"
ems_00019,Damaged,possible_major_damage,60,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00019_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608039860704364,-67.00800280220237"
ems_00020,Damaged,minor_visible_damage,25,0.4,review,/data/chips/emsr884-aoi12-caraballeda/ems_00020_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608196335802468,-67.02287456234568"
ems_00024,Damaged,uncertain_imagery_problem,,0.25,review,/data/chips/emsr884-aoi12-caraballeda/ems_00024_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.604379974,-67.029458654"
ems_00025,Damaged,possible_major_damage,60,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00025_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.604420357837837,-67.0309509154054"
ems_00022,Damaged,uncertain_imagery_problem,,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00022_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.60388637888889,-67.02896722888889"
ems_00026,Damaged,uncertain_imagery_problem,,0.25,review,/data/chips/emsr884-aoi12-caraballeda/ems_00026_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.605147495,-67.03213728749999"
ems_00027,Damaged,uncertain_imagery_problem,,0.25,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00027_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.60525947732612,-67.0348830284235"
ems_00028,Damaged,minor_visible_damage,25,0.4,review,/data/chips/emsr884-aoi12-caraballeda/ems_00028_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.60493100952941,-67.03313448211765"
ems_00029,Damaged,minor_visible_damage,25,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00029_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.605618074285715,-67.03103998142856"
ems_00030,Damaged,minor_visible_damage,15,0.35,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00030_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.606061881666667,-67.025545583"
ems_00031,Damaged,uncertain_imagery_problem,,0.25,review,/data/chips/emsr884-aoi12-caraballeda/ems_00031_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.605771187419354,-67.02861496232258"
ems_00032,Damaged,possible_major_damage,65,0.55,review,/data/chips/emsr884-aoi12-caraballeda/ems_00032_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.607970675,-67.032364653125"
ems_00033,Damaged,uncertain_imagery_problem,50,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00033_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608552014930876,-67.02577978308756"
ems_00035,Damaged,uncertain_imagery_problem,50,0.3,review,/data/chips/emsr884-aoi12-caraballeda/ems_00035_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608502778703507,-67.02704386155155"
ems_00034,Damaged,possible_major_damage,45,medium,review,/data/chips/emsr884-aoi12-caraballeda/ems_00034_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608039345008404,-67.03443701038655"
ems_00036,Damaged,uncertain_imagery_problem,50,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00036_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608333004545456,-67.03000628545455"
ems_00038,Damaged,uncertain_imagery_problem,50,0.2,review,/data/chips/emsr884-aoi12-caraballeda/ems_00038_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608804539285714,-67.03126915"
ems_00037,Damaged,uncertain_imagery_problem,50,0.3,review,/data/chips/emsr884-aoi12-caraballeda/ems_00037_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608585757142858,-67.02935383857142"
ems_00039,Damaged,possible_major_damage,70,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00039_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608923061818182,-67.0286722890909"
ems_00040,Damaged,uncertain_imagery_problem,50,0.3,review,/data/chips/emsr884-aoi12-caraballeda/ems_00040_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.609351997142856,-67.02810981428571"
ems_00041,Damaged,no_visible_damage,15,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00041_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608157678495576,-67.0235399399115"
ems_00043,Damaged,minor_visible_damage,25,0.4,review,/data/chips/emsr884-aoi12-caraballeda/ems_00043_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608328463934425,-67.02125024032787"
ems_00042,Damaged,possible_major_damage,45,0.35,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00042_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608322817906977,-67.02475446565892"
ems_00045,Damaged,uncertain_imagery_problem,25,0.3,review,/data/chips/emsr884-aoi12-caraballeda/ems_00045_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608890552857144,-67.01760054571429"
ems_00046,Damaged,possible_major_damage,70,0.72,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00046_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.60879685142857,-67.01596222857142"
ems_00047,Damaged,possible_major_damage,55,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00047_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.609065894814815,-67.01411440407408"
ems_00051,Damaged,likely_destroyed,75,0.78,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00051_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.609638426557378,-67.01139310032787"
ems_00048,Damaged,possible_major_damage,55,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00048_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.609863663999999,-67.009877484"
ems_00049,Damaged,possible_major_damage,70,0.65,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00049_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.609585159523808,-67.01360289380952"
ems_00052,Damaged,possible_major_damage,60,0.55,review,/data/chips/emsr884-aoi12-caraballeda/ems_00052_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.60974750582569,-66.98619988211009"
ems_00053,Damaged,uncertain_imagery_problem,50,0.3,review,/data/chips/emsr884-aoi12-caraballeda/ems_00053_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.610199397661537,-67.0061719804"
ems_00054,Damaged,possible_major_damage,65,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00054_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.610505655166666,-67.009151284"
ems_00057,Damaged,possible_major_damage,45,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00057_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.610665791818182,-67.01167495"
ems_00055,Damaged,uncertain_imagery_problem,,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00055_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.61067700617647,-67.01328281735293"
ems_00056,Damaged,minor_visible_damage,20,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00056_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.610860842897884,-67.02103362942042"
ems_00058,Damaged,uncertain_imagery_problem,,low,review,/data/chips/emsr884-aoi12-caraballeda/ems_00058_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.610800195112107,-67.0144296540583"
ems_00059,Damaged,likely_destroyed,80,0.72,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00059_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.610827765652173,-67.01019844836956"
ems_00063,Damaged,uncertain_imagery_problem,30,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00063_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.599817650347129,-66.92506433463284"
ems_00060,Damaged,possible_major_damage,25,0.4,review,/data/chips/emsr884-aoi12-caraballeda/ems_00060_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.61309085233146,-67.02221540393259"
ems_00068,Damaged,uncertain_imagery_problem,,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00068_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.600797055614034,-66.93254356192982"
ems_00069,Damaged,possible_major_damage,55,0.55,review,/data/chips/emsr884-aoi12-caraballeda/ems_00069_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.601185569090909,-66.92727003272726"
ems_00074,Damaged,possible_major_damage,55,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00074_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.601712313333334,-66.9332701838889"
ems_00078,Damaged,minor_visible_damage,25,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00078_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.603163559,-66.9221401887143"
ems_00077,Damaged,no_visible_damage,5,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00077_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.602201359551282,-66.9320921798077"
ems_00080,Damaged,minor_visible_damage,25,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00080_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.604746885,-66.9012405575"
ems_00083,Damaged,uncertain_imagery_problem,,0.25,review,/data/chips/emsr884-aoi12-caraballeda/ems_00083_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.610366280847458,-66.8243563998305"
ems_00082,Damaged,uncertain_imagery_problem,,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00082_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.609762825,-66.840295549375"
ems_00084,Damaged,uncertain_imagery_problem,,low,review,/data/chips/emsr884-aoi12-caraballeda/ems_00084_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.61093628,-66.84658064333334"
ems_00085,Damaged,minor_visible_damage,25,0.4,review,/data/chips/emsr884-aoi12-caraballeda/ems_00085_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.611196907708333,-66.83687010145833"
ems_00086,Damaged,uncertain_imagery_problem,,0.25,review,/data/chips/emsr884-aoi12-caraballeda/ems_00086_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.61137259894737,-66.83207921263158"
ems_00087,Damaged,possible_major_damage,65,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00087_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.61238737873606,-66.8272925567658"
ems_00089,Damaged,possible_major_damage,60,0.45,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00089_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.61156053709091,-66.82944574727273"
ems_00088,Damaged,uncertain_imagery_problem,50,0.25,review,/data/chips/emsr884-aoi12-caraballeda/ems_00088_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.611131018333333,-66.82205069"
ems_00090,Damaged,possible_major_damage,70,0.55,review,/data/chips/emsr884-aoi12-caraballeda/ems_00090_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.612323683636363,-66.82729378636363"
ems_00095,Damaged,uncertain_imagery_problem,,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00095_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.605978172330827,-66.89171304300751"
ems_00094,Damaged,possible_major_damage,55,0.45,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00094_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.60537589,-66.89959835027027"
ems_00097,Damaged,uncertain_imagery_problem,,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00097_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.609668543977273,-66.88812140087121"
ems_00100,Damaged,uncertain_imagery_problem,,0.3,review,/data/chips/emsr884-aoi12-caraballeda/ems_00100_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.61589862202381,-66.85931699654762"
ems_00101,Damaged,possible_major_damage,55,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00101_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.611600084538559,-66.82008250418458"
ems_00103,Damaged,likely_destroyed,70,0.72,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00103_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.61217474090909,-66.82466006727273"
ems_00104,Damaged,uncertain_imagery_problem,,0.3,review,/data/chips/emsr884-aoi12-caraballeda/ems_00104_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.61302710708,-66.83939433798001"
ems_00102,Damaged,minor_visible_damage,35,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00102_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.612266756744186,-66.84482426534883"
ems_00105,Damaged,likely_destroyed,70,0.78,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00105_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.6131557316,-66.8377313408"
ems_00106,Damaged,likely_destroyed,75,moderate,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00106_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.613161233173077,-66.83640864298077"
ems_00108,Damaged,possible_major_damage,65,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00108_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.6148392825,-66.837810166"
ems_00110,Damaged,minor_visible_damage,25,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00110_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.615587603814435,-66.83705003910653"
ems_00111,Damaged,uncertain_imagery_problem,,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00111_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.616437820309278,-66.8473539613402"
ems_00112,Damaged,uncertain_imagery_problem,,0.25,review,/data/chips/emsr884-aoi12-caraballeda/ems_00112_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.616277492608695,-66.84273860652173"
ems_00113,Damaged,possible_major_damage,60,medium,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00113_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.617645295555556,-66.844938664"
ems_00114,Damaged,possible_major_damage,65,0.55,review,/data/chips/emsr884-aoi12-caraballeda/ems_00114_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.61776499,-66.84627419818183"
ems_00001,Possibly damaged,minor_visible_damage,15,0.35,deprioritize,/data/chips/emsr884-aoi12-caraballeda/ems_00001_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.584247934899329,-67.08355866523489"
ems_00120,Damaged,uncertain_imagery_problem,30,25,deprioritize,/data/chips/emsr884-aoi12-caraballeda/ems_00120_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.6188720975,-66.84746697125"
ems_00002,Possibly damaged,no_visible_damage,5,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00002_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.588731670884956,-67.050669150295"
ems_00018,Possibly damaged,uncertain_imagery_problem,30,low,review,/data/chips/emsr884-aoi12-caraballeda/ems_00018_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608148381111112,-67.0187448811111"
ems_00005,Possibly damaged,uncertain_imagery_problem,0,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00005_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.602052206000002,-67.0244288472"
ems_00023,Possibly damaged,minor_visible_damage,15,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00023_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.604057585,-67.030784653"
ems_00044,Possibly damaged,minor_visible_damage,25,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00044_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.608368029045938,-66.9986873646643"
ems_00061,Possibly damaged,minor_visible_damage,25,medium,review,/data/chips/emsr884-aoi12-caraballeda/ems_00061_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.597316664444444,-66.93102622305555"
ems_00062,Possibly damaged,no_visible_damage,15,0.55,review,/data/chips/emsr884-aoi12-caraballeda/ems_00062_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.598595514835164,-66.92251005263736"
ems_00064,Possibly damaged,minor_visible_damage,25,0.55,review,/data/chips/emsr884-aoi12-caraballeda/ems_00064_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.599766886428572,-66.93069049642857"
ems_00066,Possibly damaged,possible_major_damage,45,0.5,review,/data/chips/emsr884-aoi12-caraballeda/ems_00066_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.600272263983051,-66.93431937101694"
ems_00065,Possibly damaged,no_visible_damage,5,0.45,deprioritize,/data/chips/emsr884-aoi12-caraballeda/ems_00065_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.600096011208791,-66.93007416593407"
ems_00067,Possibly damaged,minor_visible_damage,25,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00067_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.600701960083335,-66.931661464"
ems_00070,Possibly damaged,possible_major_damage,40,0.55,review,/data/chips/emsr884-aoi12-caraballeda/ems_00070_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.601483331999999,-66.932459878"
ems_00071,Possibly damaged,minor_visible_damage,25,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00071_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.602066998257577,-66.91408852594697"
ems_00072,Possibly damaged,possible_major_damage,35,0.55,review,/data/chips/emsr884-aoi12-caraballeda/ems_00072_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.601484581818182,-66.93185105818182"
ems_00073,Possibly damaged,uncertain_imagery_problem,15,0.25,review,/data/chips/emsr884-aoi12-caraballeda/ems_00073_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.601381866402878,-66.92999726273382"
ems_00075,Possibly damaged,possible_major_damage,40,0.52,review,/data/chips/emsr884-aoi12-caraballeda/ems_00075_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.602132583695653,-66.92518093793478"
ems_00079,Possibly damaged,minor_visible_damage,15,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00079_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.603577484088397,-66.91877606718232"
ems_00076,Possibly damaged,uncertain_imagery_problem,,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00076_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.602232627627117,-66.92376110355931"
ems_00081,Possibly damaged,uncertain_imagery_problem,,0.25,review,/data/chips/emsr884-aoi12-caraballeda/ems_00081_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.607220437532895,-66.84336408355263"
ems_00091,Possibly damaged,minor_visible_damage,30,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00091_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.604727436470588,-66.89588671529411"
ems_00096,Possibly damaged,uncertain_imagery_problem,,low,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00096_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.607149818108107,-66.89196641351352"
ems_00098,Possibly damaged,possible_major_damage,30,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00098_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.60993670233871,-66.88337617217742"
ems_00117,Possibly damaged,uncertain_imagery_problem,35,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00117_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.619438562435898,-66.84675992099068"
